gate_index,gate_name,split_time_s,exit_time_s,missed,retries,max_speed_m_s,cv_detection_rate
0,Gate00,2.243962049484253,1774815174.3048394,no,0,10.28,73.68%
1,Gate01,9.021723985671997,1774815183.3265634,no,0,11.61,70.71%
2,Gate02,1.4744083881378174,1774815184.8009717,no,0,10.39,95.83%
3,Gate03,1.042290449142456,1774815185.8432622,no,0,11.84,100.00%
4,Gate04,1.0909168720245361,1774815186.934179,no,0,12.23,100.00%
5,Gate05,0.890554666519165,1774815187.8247337,no,0,14.40,0.00%
6,Gate06,5.929280996322632,1774815193.7540147,no,0,16.81,93.88%
11,Gate11_23,1.8350002765655518,1774815195.589015,no,0,9.90,68.75%
0,Gate00,2.3025014400482178,1774815224.352582,no,0,10.09,100.00%
1,Gate01,0.8611490726470947,1774815225.213731,no,0,11.90,100.00%
2,Gate02,3.2025763988494873,1774815228.4163074,no,0,13.84,91.49%
4,Gate04,2.557192802429199,1774815230.9735003,no,0,14.49,59.46%
5,Gate05,9.196847200393677,1774815240.1703475,no,0,10.75,33.33%
6,Gate06,1.7295808792114258,1774815241.8999283,no,0,9.80,72.00%
0,Gate00,2.177717924118042,1774815419.7265203,no,0,9.63,78.38%
1,Gate01,0.9653594493865967,1774815420.6918797,no,0,11.81,100.00%
2,Gate02,3.25954008102417,1774815423.9514198,no,0,14.35,100.00%
4,Gate04,0.7436742782592773,1774815424.695094,no,0,14.89,0.00%
5,Gate05,9.047322511672974,1774815433.7424166,no,0,13.27,46.00%
6,Gate06,1.679034948348999,1774815435.4214516,no,0,9.72,75.86%
7,Gate07,2.4831886291503906,1774815437.9046402,no,0,12.44,81.40%
9,Gate09,0.909534215927124,1774815438.8141744,no,0,13.18,100.00%
10,Gate10_21,0.8930785655975342,1774815439.707253,no,0,14.13,100.00%
11,Gate11_23,0.7026979923248291,1774815440.409951,no,0,13.68,100.00%
0,Gate00,2.279116630554199,1774815646.6211846,no,0,9.17,100.00%
1,Gate01,0.9920094013214111,1774815647.613194,no,0,10.81,100.00%
2,Gate02,2.6282875537872314,1774815650.2414815,no,0,13.52,100.00%
4,Gate04,0.8779821395874023,1774815651.1194637,no,0,13.80,53.33%
5,Gate05,11.541778087615967,1774815662.6612418,no,0,12.58,89.80%
6,Gate06,1.6789286136627197,1774815664.3401704,no,0,9.15,65.38%
7,Gate07,1.2418034076690674,1774815665.5819738,no,0,10.83,100.00%
8,Gate08,1.0611319541931152,1774815666.6431057,no,0,11.84,94.12%
9,Gate09,1.0093226432800293,1774815667.6524284,no,0,12.38,100.00%
10,Gate10_21,0.8925216197967529,1774815668.54495,no,0,12.73,100.00%
11,Gate11_23,9.103183507919312,1774815677.6481335,no,0,12.28,70.30%
0,Gate00,9.798069715499878,1774815714.737025,no,0,8.86,78.85%
1,Gate01,1.3743817806243896,1774815716.1114068,no,0,9.63,95.45%
2,Gate02,2.974431276321411,1774815719.085838,no,0,12.96,100.00%
4,Gate04,1.7215185165405273,1774815720.8073566,no,0,10.73,65.52%
5,Gate05,2.7307276725769043,1774815723.5380843,no,0,12.10,80.43%
7,Gate07,0.931814432144165,1774815724.4698987,no,0,11.43,86.67%
8,Gate08,1.5366544723510742,1774815726.0065532,no,0,10.12,100.00%
9,Gate09,1.7765731811523438,1774815727.7831264,no,0,11.71,100.00%
10,Gate10_21,1.9281244277954102,1774815729.7112508,no,0,9.79,84.85%
0,Gate00,8.780415773391724,1774815749.217632,no,0,9.48,54.74%
1,Gate01,9.845657110214233,1774815759.0632892,no,0,17.97,72.55%
0,Gate00,2.280853509902954,1774815937.989953,no,0,10.00,100.00%
1,Gate01,0.8289122581481934,1774815938.8188653,no,0,11.28,100.00%
2,Gate02,3.624821662902832,1774815942.443687,no,0,15.61,98.41%
5,Gate05,0.6682875156402588,1774815943.1119745,no,0,15.90,100.00%
6,Gate06,0.7804677486419678,1774815943.8924422,no,0,13.45,50.00%
7,Gate07,2.8348448276519775,1774815946.727287,no,0,13.27,53.19%
9,Gate09,0.8727996349334717,1774815947.6000867,no,0,14.24,80.00%
10,Gate10_21,3.2516472339630127,1774815950.851734,no,0,14.51,85.19%
0,Gate00,2.197359085083008,1774815963.4923532,no,0,9.22,56.76%
1,Gate01,9.258434534072876,1774815972.7507877,no,0,9.70,29.70%
2,Gate02,1.5645902156829834,1774815974.315378,no,0,9.06,100.00%
3,Gate03,1.2615323066711426,1774815975.5769103,no,0,9.24,100.00%
4,Gate04,1.124851942062378,1774815976.7017622,no,0,10.15,100.00%
5,Gate05,0.985187292098999,1774815977.6869495,no,0,9.90,88.24%
6,Gate06,1.5723607540130615,1774815979.2593102,no,0,9.97,92.59%
7,Gate07,1.0968379974365234,1774815980.3561482,no,0,11.81,100.00%
8,Gate08,0.9976019859313965,1774815981.3537502,no,0,12.45,72.22%
9,Gate09,2.0239837169647217,1774815983.377734,no,0,12.90,100.00%
11,Gate11_23,0.8765718936920166,1774815984.2543058,no,0,13.00,66.67%
0,Gate00,2.376863718032837,1774815994.7656422,no,0,9.83,65.00%
1,Gate01,0.9164245128631592,1774815995.6820667,no,0,12.38,100.00%
2,Gate02,11.850216150283813,1774816007.5322828,no,0,15.80,68.42%
5,Gate05,1.1214489936828613,1774816008.6537318,no,0,10.60,84.21%
6,Gate06,6.3417792320251465,1774816014.995511,no,0,15.98,85.05%
0,Gate00,8.898792266845703,1774816033.020514,no,0,9.72,54.55%
1,Gate01,1.0996932983398438,1774816034.1202073,no,0,11.79,94.74%
2,Gate02,2.865053415298462,1774816036.9852607,no,0,14.40,100.00%
4,Gate04,9.200138568878174,1774816046.1853993,no,0,14.65,66.67%
5,Gate05,1.3659958839416504,1774816047.5513952,no,0,10.80,100.00%
6,Gate06,1.1556005477905273,1774816048.7069957,no,0,12.10,100.00%
0,Gate00,2.314919948577881,1774816067.4611185,no,0,9.60,51.61%
1,Gate01,9.246997833251953,1774816076.7081163,no,0,11.39,25.56%
2,Gate02,1.4096577167510986,1774816078.117774,no,0,9.84,90.48%
3,Gate03,1.0717346668243408,1774816079.1895087,no,0,11.46,100.00%
4,Gate04,1.0075204372406006,1774816080.197029,no,0,12.36,87.50%
